sound;illumination;voltage;time
0;0;23.599;15:40:04
71.92;0;23.599;15:40:10
68.85;0;23.599;15:40:16
68.85;0;23.609;15:40:22
68.85;0;23.606;15:40:27
63.95;0;23.606;15:40:33
63.95;389;23.606;15:40:39
63.95;392;23.606;15:40:44
63.95;392;23.599;15:40:50
63.95;388;23.599;15:40:55
63.95;391;23.599;15:41:01
63.95;390;23.599;15:41:06
63.95;391;23.599;15:41:11
72.69;391;23.599;15:41:17
70.14;391;23.599;15:41:22
70.14;391;23.605;15:41:27
64.6;391;23.605;15:41:32
59.7;391;23.605;15:41:38
59.7;393;23.605;15:41:43
64.28;393;23.605;15:41:49
53.43;393;23.605;15:41:54
53.43;393;23.608;15:42:00
53.43;390;23.608;15:42:06
59.86;390;23.608;15:42:12
70.79;390;23.608;15:42:17
70.79;390;23.606;15:42:23
65.05;390;23.606;15:42:28
65.05;388;23.606;15:42:33
65.05;387;23.606;15:42:38
65.05;384;23.606;15:42:45
65.15;384;23.606;15:42:50
65.15;383;23.606;15:42:55
63;383;23.606;15:43:02
60.44;383;23.606;15:43:07
56.6;383;23.606;15:43:14
56.6;386;23.606;15:43:19
54.02;386;23.606;15:43:25
54.02;386;23.607;15:43:31
52.23;386;23.607;15:43:36
61.79;386;23.607;15:43:42
61.79;382;23.607;15:43:48
68.7;382;23.607;15:43:53
57.57;382;23.607;15:43:58
57.57;383;23.607;15:44:03
57.57;382;23.607;15:44:08
65.63;382;23.607;15:44:14
65.63;382;23.607;15:44:19
67.78;382;23.607;15:44:25
67.78;382;23.607;15:44:30
61.9;382;23.607;15:44:35
61.9;382;23.604;15:44:40
61.9;382;23.606;15:44:46
68.99;382;23.606;15:44:52
61.54;382;23.606;15:44:58
61.54;323;23.606;15:45:03
61.54;363;23.606;15:45:08
61.54;374;23.606;15:45:14
51.38;374;23.606;15:45:20
55.24;374;23.606;15:45:25
62.31;374;23.606;15:45:31
69.3;374;23.606;15:45:36
60.57;374;23.606;15:45:41
66.59;374;23.606;15:45:46
75.98;374;23.606;15:45:52
65.01;374;23.606;15:45:57
65.01;348;23.606;15:46:03
71.34;348;23.606;15:46:08
65.96;348;23.606;15:46:14
71.03;348;23.606;15:46:19
63.75;348;23.606;15:46:25
63.75;351;23.606;15:46:30
60.56;351;23.606;15:46:36
60.56;346;23.606;15:46:41
61.56;346;23.606;15:46:46
62.22;346;23.606;15:46:52
64.03;346;23.606;15:46:57
60.22;346;23.606;15:47:02
51.95;346;23.606;15:47:08
51.95;369;23.606;15:47:13
48.7;369;23.606;15:47:19
50.3;369;23.606;15:47:24
62.4;369;23.606;15:47:30
62.4;362;23.606;15:47:35
62.4;366;23.606;15:47:40
62.4;366;23.607;15:47:45
62.4;376;23.607;15:47:51
68.79;376;23.607;15:47:57
63.33;376;23.607;15:48:03
65.22;376;23.607;15:48:08
65.22;376;23.606;15:48:13
65.22;376;23.608;15:48:18
65.62;376;23.608;15:48:25
65.62;376;23.607;15:48:30
65.62;376;23.605;15:48:35
64.2;376;23.605;15:48:40
72.8;376;23.605;15:48:45
72.8;377;23.605;15:48:50
59.63;377;23.605;15:48:56
62.87;377;23.605;15:49:01
62.87;377;23.608;15:49:07
71.95;377;23.608;15:49:13
70.11;377;23.608;15:49:19
57.59;377;23.608;15:49:24
48.03;377;23.608;15:49:29
51.35;377;23.608;15:49:35
51.35;376;23.608;15:49:40
51.35;347;23.608;15:49:46
64.95;347;23.608;15:49:52
62.92;347;23.608;15:49:59
63.89;347;23.608;15:50:04
63.39;347;23.608;15:50:09
66.77;347;23.608;15:50:15
59.59;347;23.608;15:50:20
65.06;347;23.608;15:50:26
65.06;364;23.608;15:50:31
